agency_id,division_id,department_id,unit_id,long_name,short_name,active
HCA,3090,3091,3091,EMERGENCY MEDICAL SERVICES,EMS,true
HCA,3090,3093,3093,EMERGENCY PREPAREDNESS,EMGCY PREP,true
HCA,3090,3095,3095,HOMELAND SECURITY,HOME SECURITY,true
HCA,3100,3101,3101,HIV AIDS PROGRAMS,HIV AIDS PGRMS,true
HCA,3100,3103,3103,PUBLIC HEALTH ADMINISTRATION,PH ADMIN,true
HCA,3100,3105,3105,HEALTH EDUCATION,HLTH ED,true
HCA,3100,3107,3107,FIELD NURSING AFLP AND CAL LEARN,FN AFLP CAL LRN,true
HCA,3100,3109,3109,"CLINICS, TB, CD, AND IZ",CLNICS TB CD IZ,true
HCA,3100,3111,3111,LAB AND VITAL RECORDS,LAB VIT ALRCRDS,true
HCA,3100,3113,3113,EPIDEMIOLOGY AND LAB CAPACITY ENHANCING DETECTION EXPANSION,ELC EDX,true
HCA,3100,3115,3115,PROV ACCESS & TRNSFM HLTH CAPCTY & INFRA TRANSTN EXPND & DEV,PATH-CITED,true
HCA,3120,3120,3120,HCA WOMEN INFANTS AND CHILDREN,HCA WIC,true
HCA,3140,3141,3141,CALIFORNIA CHILDRENS SERVICES,CALI CHILD SVCS,true
HCA,3140,3143,3143,CHILD HEALTH DISBLTY PREVENTION PROGRAM,CHDP PGRM,true
HCA,3140,3145,3145,CHILDHOOD LEAD POISONING PREVENTION,CHLP PREVENT,true
HCA,3180,3181,3181,BH SERVICES & SUPPORT EARLY INTERVENTION,BHSS EI,true
HCA,3180,3182,3182,BH SERVICES & SUPPORT EARLY INTERVENTION 25 YEARS & YOUNGER,BHSS EI 25 YR,true
HCA,3180,3183,3183,BEHAVIORAL HEALTH SERVICES & SUPPORT OTHER,BHSS OTHER,true
HCA,3180,3184,3184,BHSA FULL SERVICE PARTNERSHIP,BHSA FSP,true
HCA,3180,3185,3185,BHSA HOUSING INTERVENTION CHRONICALLY HOMELESS,BHSA HI CHRO HL,true
HCA,3180,3186,3186,BHSA HOUSING INTERVENTION OTHER,BHSA HI OTHER,true
HCA,3180,3187,3187,BHSA ADMINISTRATION & QUALITY ASSURANCE,BHSA ADMIN & QA,true
HCA,3180,3188,3188,BHSA CAPITAL FACILITIES AND TECHNOLOGY NEEDS,BHSA CFTN,true
HCA,3200,3201,3201,MHL ADMINISTRATION,MHL ADMIN,true
HCA,3200,3203,3203,MHL ADULT SERVICES,MHL ADULT SVCS,true
HCA,3200,3205,3205,MHL YOUTH FAMILY PROGRAM SERVICES,MHL YF PGRM SVC,true
HCA,3200,3207,3207,MHL QUALITY ASSURANCE SERVICES,MHL QA SVCS,true
HCA,3200,3209,3209,MHL MANAGED CARE SERVICES,MHL MC SVCS,true
HCA,3200,3213,3213,MHL JUVENILE JUSTICE PROGRAM,MHL JV JST PGRM,true
HCA,3200,3215,3215,MHL INPATIENT SERVICES,MHL INPAT SVCS,true
HCA,3220,3221,3221,SUS SUPPORTIVE SERVICES,SUS SUPT SVCS,true
HCA,3220,3223,3223,SUS PREVENTION SERVICES,SUS PVNT SVCS,true
HCA,3220,3225,3225,SUS NON-RESIDENTIAL SERVICES,SUS NONRES SVCS,true
HCA,3220,3227,3227,SUS RESIDENTIAL SERVICES,SUS RES SVCS,true
HCA,3220,3229,3229,SUS ANCILLIARY SERVICES,SUS ANCLRY SVCS,true
HCA,3220,3231,3231,SUS NARCTC TREATMENT PROV SRVC,SUS NTR SVCS,true
HCA,3220,3233,3233,SUS ADMINISTRATION,SUS ADMIN,true
HCA,3240,3241,3241,SUS DUI PROGRAM SERVICES,SUS DUI PRG SVC,true
HCA,3240,3243,3243,SUS DUI ADMINISTRATION,SUS DUI ADMIN,true
HCA,3260,3261,3261,MHS CSS YOUTH AND FAMILY SERVICE,MHS CSS YF SVCS,true
HCA,3260,3263,3263,MHS PEI,MHS PEI,true
HCA,3260,3265,3265,MHS WET,MHS WET,true
HCA,3260,3267,3267,MHS CFTN,MHS CFTN,true
HCA,3260,3269,3269,MHS INN,MHS INN,true
HCA,3260,3271,3271,MHS ADMINISTRATION,MHS ADMIN,true
HCA,3260,3273,3273,MHS CSS ADULT SERVICES,MHS CSS ADT SVC,true
HCA,3280,3281,3281,PUG PROGRAM SERVICES,PUG PROGRAM SRV,true
HCA,3280,3283,3283,PUG ADMINISTRATION,PUG ADMIN,true
HCA,3290,3291,3291,MENTAL HEALTH REHABILITATION CENTER - LEWIS ROAD,MHRC LEWIS ROAD,true
HCA,3290,3292,3292,PSYCHIATRIC HEALTH FACILITY - EAST COUNTY,PHF EAST COUNTY,true
HCA,3290,3293,3293,ADULT CRISIS STABILIZATION UNIT - SIMI VALLEY,CSU SIMI,true
HCA,3290,3294,3294,YOUTH AND FAMILY COMMUNITY RESOURCE CENTER,Y&F CRC,true
HCA,3300,3301,3301,VCMC HOSPITAL,VCMC HOSPITAL,true
HCA,3300,3311,3311,HOSPITAL REPLACEMENT WING EQUIPMENT LRB,HRW RPLC EQ LRB,true
HCA,3300,3320,3320,AMBULATORY CARE,AMBULATORY CARE,true
HCA,3300,3361,3361,VCMC INPATIENT PSYCHIATRIC UNIT,VCMC INPAT PSY,true
HCA,3300,3371,3371,SANTA PAULA HOSPITAL,SP HOSPITAL,true
HCA,3310,3312,3312,HOSPITAL REPLACEMENT WING EQUIPMENT LEASE BPACC,HRW EQ BPACC,true
HCA,3310,3313,3313,HOSPITAL REPLACEMENT WING EQUIPMENT LEASE PHILLIPS,HRW EQ PHILLIPS,true
HCA,3390,3390,3390,VENTURA COUNTY HEALTH CARE PLAN,VT CO HLTH PLN,true
HMW,5800,5800,5800,HIDDEN VALLEY MUNICIPAL WATER GENERAL,HIDDEN VAL MUNI,true
HRP,1490,1490,1491,HR PAYROLL SYSTEM,HP PAYROLL,true
HSA,3410,3411,3411,ADMINISTRATION,ADMINISTRATION,true
HSA,3410,3412,3412,COMMUNITY ACCESS AND ENGAGEMENT,CMTY ACS ENGAGE,true
HSA,3410,3413,3413,CHILDREN AND FAMILY SERVICES,CHILD FAM SVCS,true
HSA,3410,3414,3414,COMMUNITY SERVICES DEPARTMENT,COMNTY SVCS DPT,true
HSA,3410,3415,3415,EMPLOYMENT AND SUPPORT SERVICES,EMP SUPPORT SVC,true
HSA,3410,3416,3416,ADULT AND FAMILY HOMELESS SERVICES,HOMELESS SVCS,true
HSA,3410,3417,3417,ADULT PROTECTIVE SERVICES,APS,true
HSA,3410,3418,3418,IN-HOME SUPPORTIVE SERVICES ELIGIBILITY,IHSS ELIGBLTY,true
HSA,3420,3421,3421,CALWORKS,CALWORKS,true
HSA,3420,3422,3422,KINGAP,KINGAP,true
HSA,3420,3423,3423,ADOPTION,ADOPTION,true
HSA,3420,3424,3424,FOSTER CARE,FOSTER CARE,true
HSA,3420,3425,3425,CASH ASSISTANCE PROGRAM FOR IMMIGRANTS,CAPI,true
HSA,3420,3426,3426,GENERAL RELIEF,GENERAL RELIEF,true
HSA,3420,3427,3427,OTHER ASSISTANCE PROGRAMS,OTHER PRGMS,true
HSA,3420,3428,3428,DIRECT RECIPIENT AID FOR PANDEMICS AND DISASTERS,AID DISASTERS,true
HSA,3430,3431,3431,RAIN TRANSITIONAL LIVING CENTER,RAIN TLC,true
HSA,3440,3441,3441,PUBLIC ADMINISTRATOR AND PUBLIC GUARDIAN,PUB ADM PUB GRD,true
HSA,3450,3451,3451,WORKFORCE INVESTMENT BOARD ADMINISTRATION,WIB ADMIN,true
HSA,3450,3452,3452,WORKFORCE INVESTMENT ACT PROGRAM OPERATION,WIB PRGM OPS,true
HSA,3460,3461,3461,IHSS PUBLIC AUTHORITY,IHSS PUB ATHRTY,true
HSA,3470,3471,3471,DOMESTIC VIOLENCE,DOMEST VIOLENCE,true
IND,2220,2220,2220,INDIGENT LEGAL SERVICE,INDIGENT LG SVC,true
ITS,4800,4801,4801,ITSD ADMINISTRATIVE AND FISCAL SERVICES,ITSD ADMN FISC,true
ITS,4800,4802,4802,ITSD TECHNICAL SERVICES,ITSD TECH SVCS,true
